"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 30 19:09:36 CEST 2024","Tue Jul 30 19:10:06 CEST 2024","30332","webkit","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room - Field level validation (EN)",""
"passed","Tue Jul 30 19:09:11 CEST 2024","Tue Jul 30 19:09:16 CEST 2024","4397","firefox","example.spec.js","","","","has title",""
"passed","Tue Jul 30 19:09:11 CEST 2024","Tue Jul 30 19:09:12 CEST 2024","229","webkit","adminTests.spec.js","Room management tests in specific order","","","Admin Delete Room",""
"passed","Tue Jul 30 19:09:17 CEST 2024","Tue Jul 30 19:09:19 CEST 2024","2201","webkit","example.spec.js","","","","get started link",""
"failed","Tue Jul 30 19:09:17 CEST 2024","Tue Jul 30 19:09:21 CEST 2024","3480","firefox","adminTests.spec.js","Room management tests in specific order","","","Admin Create Room",""
"passed","Tue Jul 30 19:09:19 CEST 2024","Tue Jul 30 19:09:20 CEST 2024","1119","firefox","example.spec.js","","","","get started link",""
"broken","Tue Jul 30 19:10:08 CEST 2024","Tue Jul 30 19:10:38 CEST 2024","30178","firefox","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room - Field level validation (DE)",""
"passed","Tue Jul 30 23:02:16 CEST 2024","Tue Jul 30 23:02:22 CEST 2024","6260","chromium","adminTests.spec.js","Room management tests in specific order","","","Test data cleanup before executing the tests",""
"passed","Tue Jul 30 19:09:28 CEST 2024","Tue Jul 30 19:09:32 CEST 2024","3221","webkit","adminTests.spec.js","Room management tests in specific order","","","Admin Create Room - Field level validations",""
"passed","Tue Jul 30 23:02:40 CEST 2024","Tue Jul 30 23:02:43 CEST 2024","3253","chromium","adminTests.spec.js","Room management tests in specific order","","","Admin Create Room - Field level validations",""
"failed","Tue Jul 30 23:02:36 CEST 2024","Tue Jul 30 23:02:39 CEST 2024","2739","chromium","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room",""
"failed","Tue Jul 30 19:09:22 CEST 2024","Tue Jul 30 19:09:23 CEST 2024","182","firefox","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room",""
"broken","Tue Jul 30 19:09:36 CEST 2024","Tue Jul 30 19:10:06 CEST 2024","30173","firefox","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room - Field level validation (EN)",""
"failed","Tue Jul 30 23:02:53 CEST 2024","Tue Jul 30 23:02:57 CEST 2024","4018","chromium","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room - Field level validation (DE)",""
"failed","Tue Jul 30 19:09:23 CEST 2024","Tue Jul 30 19:09:23 CEST 2024","248","webkit","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room",""
"passed","Tue Jul 30 19:09:14 CEST 2024","Tue Jul 30 19:09:16 CEST 2024","1520","chromium","example.spec.js","","","","get started link",""
"passed","Tue Jul 30 19:09:11 CEST 2024","Tue Jul 30 19:09:16 CEST 2024","4419","webkit","example.spec.js","","","","has title",""
"passed","Tue Jul 30 23:02:30 CEST 2024","Tue Jul 30 23:02:36 CEST 2024","6494","chromium","adminTests.spec.js","Room management tests in specific order","","","Admin Create Room",""
"passed","Tue Jul 30 19:09:12 CEST 2024","Tue Jul 30 19:09:12 CEST 2024","221","firefox","adminTests.spec.js","Room management tests in specific order","","","Admin Delete Room",""
"failed","Tue Jul 30 19:09:17 CEST 2024","Tue Jul 30 19:09:21 CEST 2024","3607","webkit","adminTests.spec.js","Room management tests in specific order","","","Admin Create Room",""
"broken","Tue Jul 30 19:10:08 CEST 2024","Tue Jul 30 19:10:38 CEST 2024","30281","webkit","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room - Field level validation (DE)",""
"passed","Tue Jul 30 23:03:02 CEST 2024","Tue Jul 30 23:03:09 CEST 2024","6546","chromium","adminTests.spec.js","Room management tests in specific order","","","Admin Delete Room",""
"passed","Tue Jul 30 19:09:28 CEST 2024","Tue Jul 30 19:09:32 CEST 2024","3179","firefox","adminTests.spec.js","Room management tests in specific order","","","Admin Create Room - Field level validations",""
"failed","Tue Jul 30 23:02:49 CEST 2024","Tue Jul 30 23:02:52 CEST 2024","2736","chromium","adminTests.spec.js","Room management tests in specific order","","","Admin Update Room - Field level validation (EN)",""
"passed","Tue Jul 30 19:09:11 CEST 2024","Tue Jul 30 19:09:13 CEST 2024","1747","chromium","example.spec.js","","","","has title",""
